code,name
AA,American Airlines
AS,Alaska Airlines
B6,JetBlue Airways
DL,Delta Air Lines
F9,Frontier Airlines
G4,Allegiant Air
MQ,Envoy Air
NK,Spirit Airlines
OH,PSA Airlines
OO,SkyWest Airlines
UA,United Airlines
WN,Southwest Airlines
YX,Republic Airline
